id,timestamp,symbol,expiry,strike,option_type,oi,oi_change,volume,iv,last_price,spot_price
274093,2026-04-20 03:30:03,NIFTY,2026-04-21,20950.0,PE,1755,,3705,30.0,8.2,24498.35
274094,2026-04-20 03:30:03,NIFTY,2026-04-21,21000.0,CE,65,,65,30.0,3033.95,24498.35
274095,2026-04-20 03:30:03,NIFTY,2026-04-21,21000.0,PE,593190,,1942850,30.0,9.8,24498.35
274096,2026-04-20 03:30:03,NIFTY,2026-04-13,20700.0,CE,715,,0,,2149.3,24498.35
274097,2026-04-20 03:30:03,NIFTY,2026-04-21,20900.0,CE,0,,0,30.0,2822.45,24498.35
274098,2026-04-20 03:30:03,NIFTY,2026-04-21,20900.0,PE,3835,,6825,30.0,9.0,24498.35
274099,2026-04-20 03:30:03,NIFTY,2026-04-21,20950.0,CE,0,,0,30.0,2772.95,24498.35
274100,2026-04-20 03:30:03,NIFTY,2026-04-21,21050.0,CE,0,,0,30.0,2674.1,24498.35
274101,2026-04-20 03:30:03,NIFTY,2026-04-21,21050.0,PE,0,,0,30.0,1.75,24498.35
274102,2026-04-20 03:30:03,NIFTY,2026-04-13,21000.0,CE,26325,,17030,,3056.55,24498.35
274103,2026-04-20 03:30:03,NIFTY,2026-04-13,21050.0,PE,110955,,1652950,,3.1,24498.35
274104,2026-04-20 03:30:03,NIFTY,2026-04-13,21050.0,CE,260,,0,,1408.9,24498.35
274105,2026-04-20 03:30:03,NIFTY,2026-04-13,21000.0,PE,6331390,,27456975,,2.85,24498.35
274106,2026-04-20 03:30:03,NIFTY,2026-04-13,20600.0,CE,260,,0,,2010.0,24498.35
274107,2026-04-20 03:30:03,NIFTY,2026-04-13,20700.0,PE,901225,,11434930,,2.65,24498.35
274108,2026-04-20 03:30:03,NIFTY,2026-04-13,23750.0,CE,174005,,7372430,,390.2,24498.35
274109,2026-04-20 03:30:03,NIFTY,2026-04-13,23700.0,PE,1872975,,41735460,,90.6,24498.35
274110,2026-04-20 03:30:03,NIFTY,2026-04-13,20750.0,PE,146575,,1742910,,2.65,24498.35
274111,2026-04-20 03:30:03,NIFTY,2026-04-13,23700.0,CE,854360,,12394655,,426.15,24498.35
274112,2026-04-20 03:30:03,NIFTY,2026-04-13,20750.0,CE,260,,0,,1872.65,24498.35
274113,2026-04-20 03:30:03,NIFTY,2026-04-13,23850.0,CE,338195,,38534145,,317.1,24498.35
274114,2026-04-20 03:30:03,NIFTY,2026-04-13,23800.0,PE,3383640,,80906540,,116.05,24498.35
274115,2026-04-20 03:30:03,NIFTY,2026-04-13,23800.0,CE,1383395,,49211630,,354.3,24498.35
274116,2026-04-20 03:30:03,NIFTY,2026-04-13,23750.0,PE,757055,,21837530,,102.45,24498.35
274117,2026-04-20 03:30:03,NIFTY,2026-04-13,23900.0,PE,3773315,,119317705,,148.55,24498.35
274118,2026-04-20 03:30:03,NIFTY,2026-04-13,23900.0,CE,1899560,,125007220,,285.0,24498.35
274119,2026-04-20 03:30:03,NIFTY,2026-04-13,23850.0,PE,1315990,,47559720,,131.7,24498.35
274120,2026-04-20 03:30:03,NIFTY,2026-04-21,23600.0,CE,45175,,129285,,632.05,24498.35
