id,timestamp,symbol,expiry,strike,option_type,oi,oi_change,volume,iv,last_price,spot_price
1,2026-04-29 09:10:00,NIFTY,2026-05-12,23300.0,CE,2275,,1625,14.61,980.9,24206.4
2,2026-04-29 09:10:00,NIFTY,2026-05-12,25000.0,PE,146445,,78455,16.47,804.0,24206.4
3,2026-04-29 09:10:00,NIFTY,2026-05-12,25000.0,CE,842985,,2757625,15.1,52.9,24206.4
4,2026-04-29 09:10:00,NIFTY,2026-05-12,23250.0,PE,58890,,170495,19.03,49.0,24206.4
5,2026-04-29 09:10:00,NIFTY,2026-05-12,23250.0,CE,585,,260,28.8,1169.35,24206.4
6,2026-04-29 09:10:00,NIFTY,2026-05-12,24950.0,PE,65,,455,,677.0,24206.4
7,2026-04-29 09:10:00,NIFTY,2026-05-05,23000.0,PE,5636800,,24887525,21.11,6.55,24206.4
8,2026-04-29 09:10:00,NIFTY,2026-05-12,24950.0,CE,42250,,158665,15.15,61.0,24206.4
9,2026-04-29 09:10:00,NIFTY,2026-05-05,24600.0,CE,2896920,,49575305,14.81,56.35,24206.4
10,2026-04-29 09:10:00,NIFTY,2026-05-12,23350.0,CE,65,,0,15.92,944.6,24206.4
11,2026-04-29 09:10:00,NIFTY,2026-05-05,24550.0,PE,123695,,1544140,15.25,389.4,24206.4
12,2026-04-29 09:10:00,NIFTY,2026-05-12,26350.0,CE,6760,,6565,17.76,1.9,24206.4
13,2026-04-29 09:10:00,NIFTY,2026-05-05,23000.0,CE,203320,,90285,16.38,1232.0,24206.4
14,2026-04-29 09:10:00,NIFTY,2026-05-05,22950.0,PE,457600,,2978235,21.45,5.85,24206.4
15,2026-04-29 09:10:00,NIFTY,2026-05-12,26300.0,PE,65,,0,33.65,2110.45,24206.4
16,2026-04-29 09:10:00,NIFTY,2026-05-12,26300.0,CE,18265,,21645,17.29,1.8,24206.4
17,2026-04-29 09:10:00,NIFTY,2026-05-12,23300.0,PE,167050,,539955,18.92,54.35,24206.4
18,2026-04-29 09:10:00,NIFTY,2026-05-05,22950.0,CE,1755,,325,,1276.5,24206.4
19,2026-04-29 09:10:00,NIFTY,2026-05-05,22900.0,PE,2134730,,9738950,21.93,5.45,24206.4
20,2026-04-29 09:10:00,NIFTY,2026-05-12,23200.0,PE,247000,,565630,19.22,44.85,24206.4
21,2026-04-29 09:10:00,NIFTY,2026-05-05,22900.0,CE,6435,,2665,,1289.0,24206.4
22,2026-04-29 09:10:00,NIFTY,2026-05-12,24900.0,PE,10465,,8190,15.72,712.6,24206.4
23,2026-04-29 09:10:00,NIFTY,2026-05-05,22850.0,PE,1986270,,5553405,22.42,5.1,24206.4
24,2026-04-29 09:10:00,NIFTY,2026-05-12,24900.0,CE,597285,,1204060,15.13,69.3,24206.4
25,2026-04-29 09:10:00,NIFTY,2026-05-12,24850.0,PE,195,,520,10.16,610.0,24206.4
26,2026-04-29 09:10:00,NIFTY,2026-05-05,26350.0,CE,48555,,81640,23.44,0.6,24206.4
27,2026-04-29 09:10:00,NIFTY,2026-05-05,26300.0,PE,65,,0,50.39,2144.95,24206.4
28,2026-04-29 09:10:00,NIFTY,2026-05-05,26300.0,CE,198965,,620815,22.76,0.55,24206.4
29,2026-04-29 09:10:00,NIFTY,2026-05-05,26250.0,PE,0,,0,151.95,3126.3,24206.4
30,2026-04-29 09:10:00,NIFTY,2026-05-05,26250.0,CE,89310,,164450,22.65,0.65,24206.4
31,2026-04-29 09:10:00,NIFTY,2026-05-05,26200.0,PE,325,,0,40.35,2003.0,24206.4
32,2026-04-29 09:10:00,NIFTY,2026-05-05,26200.0,CE,327405,,449735,21.99,0.6,24206.4
33,2026-04-29 09:10:00,NIFTY,2026-05-12,23200.0,CE,2470,,2340,25.73,1170.8,24206.4
34,2026-04-29 09:10:00,NIFTY,2026-05-05,23150.0,CE,4095,,2795,,1072.9,24206.4
35,2026-04-29 09:10:00,NIFTY,2026-05-05,23100.0,PE,1967745,,11301420,20.34,8.05,24206.4
36,2026-04-29 09:10:00,NIFTY,2026-05-12,24850.0,CE,67015,,157365,15.09,78.15,24206.4
37,2026-04-29 09:10:00,NIFTY,2026-05-12,24800.0,PE,27235,,31850,16.26,641.0,24206.4
38,2026-04-29 09:10:00,NIFTY,2026-05-05,23100.0,CE,10335,,7475,,1115.55,24206.4
39,2026-04-29 09:10:00,NIFTY,2026-05-12,26250.0,PE,0,,0,95.55,2971.0,24206.4
40,2026-04-29 09:10:00,NIFTY,2026-05-12,24800.0,CE,262405,,1000350,15.1,88.5,24206.4
41,2026-04-29 09:10:00,NIFTY,2026-05-12,26250.0,CE,18525,,13325,17.14,2.0,24206.4
42,2026-04-29 09:10:00,NIFTY,2026-05-05,23050.0,PE,439075,,3738475,20.72,7.25,24206.4
43,2026-04-29 09:10:00,NIFTY,2026-05-12,24750.0,PE,3055,,4940,16.31,604.0,24206.4
44,2026-04-29 09:10:00,NIFTY,2026-05-12,26200.0,PE,0,,0,94.72,2921.8,24206.4
45,2026-04-29 09:10:00,NIFTY,2026-05-12,24750.0,CE,71305,,186225,15.19,101.15,24206.4
46,2026-04-29 09:10:00,NIFTY,2026-05-12,26200.0,CE,53950,,89635,16.68,1.9,24206.4
47,2026-04-29 09:10:00,NIFTY,2026-05-05,23050.0,CE,910,,260,18.69,1184.8,24206.4
48,2026-04-29 09:10:00,NIFTY,2026-05-05,26450.0,PE,0,,0,,3323.05,24206.4
49,2026-04-29 09:10:00,NIFTY,2026-05-05,26450.0,CE,63050,,160745,24.39,0.6,24206.4
